author_id,author_name,field_name,gender,race
2145115012,yu zheng,graph,male,East Asian
2178444706,tosiyasu l kunii,graph,male,East Asian
2133504918,yoshihisa shinagawa,graph,male,East Asian
2210502048,younbae kang,graph,male,East Asian
2125800575,xing xie,graph,male,East Asian
2100860776,duo zhang,graph,male,East Asian
2166036605,qiaozhu mei,graph,male,East Asian
1584891692,jeannette m wing,graph,female,East Asian
2777608881,xianbo xu,graph,female,East Asian
2124867291,lillian lee,graph,female,East Asian
2129095822,bo pang,graph,female,East Asian
2618611603,masaki hilaga,graph,male,East Asian
2792200781,weiying ma,graph,male,East Asian
2141500565,deng cai,graph,male,East Asian
2304219814,inho jung,graph,male,East Asian
2294766364,lizhu zhang,graph,male,East Asian
2166203756,haijie gu,graph,male,East Asian
2152766206,chengxiang zhai,graph,male,East Asian
2539519177,stan z li,graph,male,East Asian
2909286037,meng wang,graph,female,East Asian
2169717372,yucheng low,graph,male,East Asian
2092142020,ha hoang,social network,female,East Asian
2191828109,sue moon,social network,female,East Asian
2162145093,tiancheng lou,social network,male,East Asian
206769630,daizaburo shizuka,social network,male,East Asian
2610664851,nan lin,social network,male,East Asian
2144500550,xiangyang lan,social network,male,East Asian
2152766206,chengxiang zhai,social network,male,East Asian
2227755146,eunjoon cho,social network,male,East Asian
294294306,ichiro kawachi,social network,male,East Asian
2100860776,duo zhang,social network,male,East Asian
2161065209,ying ding,social network,female,East Asian
2132063513,haewoon kwak,social network,male,East Asian
2166036605,qiaozhu mei,social network,male,East Asian
2113869885,xiaodan song,social network,male,East Asian
2101274274,meeyoung cha,social network,female,East Asian
2620706523,eric w k tsang,social network,male,East Asian
2113438569,erjia yan,social network,male,East Asian
2419915511,changhyun lee,social network,male,East Asian
2157550716,hosung park,social network,male,East Asian
2141500565,deng cai,social network,male,East Asian
2103022394,jie wu,social network,male,East Asian
2158012360,jie tang,social network,male,East Asian
2128666145,chaoming song,social network,male,East Asian
2043434265,takao sasaki,social network,male,East Asian
2925179156,belle l tseng,social network,female,East Asian
2157848085,wenpin tsai,social network,male,East Asian
2105916845,hawoong jeong,complex network,male,East Asian
2143724125,mung chiang,complex network,male,East Asian
2097134209,steven h low,complex network,male,East Asian
2807366552,zhongyuan zhang,complex network,male,East Asian
2226227572,xiaofan wang,complex network,male,East Asian
2105720401,tianping chen,complex network,male,East Asian
2118618513,katherine c chen,complex network,female,East Asian
2167396689,wenlian lu,complex network,male,East Asian
2110250596,jinhu lu,complex network,male,East Asian
2125958825,lin huang,complex network,male,East Asian
2137992000,gaolang gong,complex network,male,East Asian
2120090010,linyuan lu,complex network,female,East Asian
2105834143,wenwu yu,complex network,male,East Asian
2686795201,linyuan lu,complex network,female,East Asian
2107876906,yong he,complex network,male,East Asian
2102240352,beom jun kim,complex network,male,East Asian
2476563404,yingcheng lai,complex network,male,East Asian
2162788130,guanrong chen,complex network,male,East Asian
2157132620,jianxi gao,complex network,male,East Asian
2646458815,juyong park,complex network,male,East Asian
2127952624,yongyeol ahn,complex network,male,East Asian
2105958714,yangyu liu,complex network,male,East Asian
2515242805,zhongkui li,complex network,male,East Asian
2128666145,chaoming song,complex network,male,East Asian
2146161571,chang no yoon,complex network,male,East Asian
2689291799,xiang li,complex network,male,East Asian
2422184792,tao zhou,complex network,male,East Asian
2309260691,xiwei liu,complex network,male,East Asian
2228415632,changsong zhou,complex network,male,East Asian
2172097790,zhisheng duan,complex network,male,East Asian
2191051789,duanbing chen,complex network,male,East Asian
2103022394,jie wu,complex network,male,East Asian
2153123546,juyong lee,complex network,male,East Asian
2143795187,mingsheng shang,complex network,male,East Asian
2145026360,fan chung,complex network,female,East Asian
2151581994,haijun zhou,complex network,male,East Asian
2151409538,donguk hwang,complex network,male,East Asian
2115325288,seung kee han,complex network,male,East Asian
2160651145,yicheng zhang,complex network,male,East Asian
2141813676,lei tang,network science,male,East Asian
2105916845,hawoong jeong,network science,male,East Asian
2158012360,jie tang,network science,male,East Asian
206769630,daizaburo shizuka,network science,male,East Asian
2422184792,tao zhou,network science,male,East Asian
2105958714,yangyu liu,network science,male,East Asian
2153123546,juyong lee,network science,male,East Asian
2169339803,quanxin wang,network science,male,East Asian
2160651145,yicheng zhang,network science,male,East Asian
2166036605,qiaozhu mei,network science,male,East Asian
2120090010,linyuan lu,network science,female,East Asian
2646458815,juyong park,network science,male,East Asian
2102240352,beom jun kim,network science,male,East Asian
2572048205,jianping zhang,network science,male,East Asian
2100860776,duo zhang,network science,male,East Asian
2043434265,takao sasaki,network science,male,East Asian
2161065209,ying ding,network science,female,East Asian
2623686872,lin wang,network science,male,East Asian
2131539564,yizhou sun,network science,female,East Asian
2127952624,yongyeol ahn,network science,male,East Asian
2152766206,chengxiang zhai,network science,male,East Asian
2566209759,zhen wang,network science,male,East Asian
2103022394,jie wu,network science,male,East Asian
2121939561,jiawei han,network science,male,East Asian
2145026360,fan chung,network science,female,East Asian
2191051789,duanbing chen,network science,male,East Asian
2686795201,linyuan lu,network science,female,East Asian
2151581994,haijun zhou,network science,male,East Asian
2807366552,zhongyuan zhang,network science,male,East Asian
2146161571,chang no yoon,network science,male,East Asian
2162145093,tiancheng lou,network science,male,East Asian
2141500565,deng cai,network science,male,East Asian
2157132620,jianxi gao,network science,male,East Asian
2115325288,seung kee han,network science,male,East Asian
2113438569,erjia yan,network science,male,East Asian
2974365595,alice x zheng,network science,female,East Asian
2143795187,mingsheng shang,network science,male,East Asian
2122391114,huan liu,network science,male,East Asian
492771021,omar m yaghi,graph,male,Middle Eastern
2080227857,mehran mesbahi,graph,male,Middle Eastern
1970098533,andrei z broder,graph,male,Middle Eastern
73889060,farzin maghoul,graph,male,Middle Eastern
2305277957,eytan adar,social network,male,Middle Eastern
1927775022,hamed haddadi,social network,male,Middle Eastern
2617375404,mohsen jamali,social network,male,Middle Eastern
1968678165,hassan abolhassani,social network,male,Middle Eastern
73721942,rami alrfou,social network,male,Middle Eastern
2617115591,reuven cohen,complex network,male,Middle Eastern
368345771,nadav kashtan,complex network,male,Middle Eastern
341001588,r olfatisaber,complex network,male,Middle Eastern
2033660646,leila cammoun,network science,female,Middle Eastern
47978243,zohreh nazeri,network science,male,Middle Eastern
2617115591,reuven cohen,network science,male,Middle Eastern
1968678165,hassan abolhassani,network science,male,Middle Eastern
2617375404,mohsen jamali,network science,male,Middle Eastern
341001588,r olfatisaber,network science,male,Middle Eastern
2027494279,stuart ramsden,graph,male,White/European
2121363698,jonathan harel,graph,male,White/European
183997454,charo i del genio,graph,male,White/European
2167840791,katherine l gross,graph,female,White/European
743507883,michael gleicher,graph,male,White/European
223268448,nal kalchbrenner,graph,male,White/European
2198983026,christos faloutsos,graph,male,White/European
2528544729,bernhard schlkopf,graph,male,White/European
2014508897,max welling,graph,male,White/European
233957955,eytan bakshy,graph,male,White/European
1910777624,gianfranco ciani,graph,male,White/European
2343183261,paul tarau,graph,male,White/European
2261367123,jon kleinberg,graph,male,White/European
2111969604,alexander l cohen,graph,male,White/European
2193112926,massimiliano zanin,graph,male,White/European
1970090850,s boccaletti,graph,male,White/European
2034569840,oleg sheyner,graph,male,White/European
2803114062,m maccormick,graph,female,White/European
1572478601,alexander zien,graph,male,White/European
2159748280,james p ostrowski,graph,male,White/European
334793072,bradley l schlaggar,graph,male,White/European
1958098182,david gefen,graph,male,White/European
2198714960,oliver sander,graph,male,White/European
2780364363,gunnar eriksson,graph,male,White/European
297758967,niko beerenwinkel,graph,male,White/European
2029079203,patrice chartrand,graph,male,White/European
1768377342,a d pelton,graph,male,White/European
2345687710,lada a adamic,graph,female,White/European
2155714191,steven e petersen,graph,male,White/European
2137172369,richard p lippmann,graph,male,White/European
2122189410,santo fortunato,graph,male,White/European
2104880928,massimo marchiori,graph,male,White/European
2099565897,alecia c vogel,graph,female,White/European
2942751206,robert b waide,graph,male,White/European
355078640,samuel m scheiner,graph,male,White/European
2944772701,donatello conte,graph,male,White/European
2049499784,olivier chapelle,graph,male,White/European
54234561,kalervo jarvelin,graph,male,White/European
638102273,gary g mittelbach,graph,male,White/European
1281053966,v a blatov,graph,male,White/European
2028182399,raymie stata,graph,male,White/European
2112716162,william t freeman,graph,male,White/European
2318750001,john fox,graph,male,White/European
338696361,jorg rahnenfuhrer,graph,male,White/European
1546911709,kim henrick,graph,male,White/European
1274808907,olaf sporns,graph,male,White/European
2130754085,andrew tomkins,graph,male,White/European
2138805444,duncan j watts,graph,male,White/European
2954102654,lucia carlucci,graph,female,White/European
2581421153,c thibault,graph,female,White/European
2258767774,carlo sansone,graph,male,White/European
2099455753,steven m nelson,graph,male,White/European
2159504853,ginestra bianconi,graph,female,White/European
1949934518,jaana kekalainen,graph,female,White/European
197852453,jesus gomezgardenes,graph,male,White/European
2054945303,vito latora,graph,male,White/European
2236942756,magnus egerstedt,graph,male,White/European
2102150147,sanford weisberg,graph,male,White/European
2102126111,stanley i dodson,graph,male,White/European
2776396093,gerd sparovek,graph,male,White/European
2114731725,b pfeiffer,graph,male,White/European
2792022610,e belisle,graph,female,White/European
2133105299,s petersen,graph,male,White/European
2100188475,stig johansson,graph,male,White/European
12020231,sergei a decterov,graph,male,White/European
580177505,douglas biber,graph,male,White/European
2165121431,andreas krause,graph,male,White/European
2859776644,fran m miezin,graph,male,White/European
2310000115,janet l wiener,graph,female,White/European
143406791,jeanne m vanbriesen,graph,female,White/European
2780486369,winter mason,graph,male,White/European
43551179,stephen p borgatti,graph,male,White/European
2129122817,adrian alexa,graph,male,White/European
2533298067,susan conrad,graph,female,White/European
2202896758,christof koch,graph,male,White/European
129592405,danny bickson,graph,male,White/European
2108025540,pietro perona,graph,male,White/European
2228089885,davide m proserpio,graph,male,White/European
12494109,edward grefenstette,graph,male,White/European
2078454212,pasquale foggia,graph,male,White/European
1850815613,andrea lancichinetti,graph,male,White/European
842233868,filippo radicchi,graph,male,White/European
2806153476,monika r henzinger,graph,female,White/European
2220590586,j w haines,graph,male,White/European
2394749673,m e j newman,graph,male,White/European
2159035819,tom fawcett,graph,male,White/European
2076870029,f g kondev,graph,male,White/European
2611021118,jacques melancon,graph,male,White/European
2146732428,heather l reynolds,graph,female,White/European
2153399456,jonathan d power,graph,male,White/European
712349682,michael r willig,graph,male,White/European
2107865364,domenico parisi,graph,male,White/European
2130741227,michael okeeffe,graph,male,White/European
2120550509,martin g everett,graph,male,White/European
1948201238,c w bale,graph,male,White/European
2082717036,lucas kovar,graph,male,White/European
128580411,thomas lengauer,graph,male,White/European
2942294171,a h wapstra,graph,male,White/European
1917378349,mathew d penrose,graph,male,White/European
2150454853,mario vento,graph,male,White/European
2096404504,tobias sing,graph,male,White/European
2041246193,klaus hack,graph,male,White/European
2775877564,jake m hofman,graph,male,White/European
2980696681,vittorio loreto,graph,male,White/European
2178698385,christian robelin,graph,male,White/European
2951626098,kelly anne barnes,graph,female,White/European
1997556906,timothy o laumann,graph,male,White/European
252564519,paolo boldi,graph,male,White/European
2595094752,thomas kipf,graph,male,White/European
1955817955,edward finegan,graph,male,White/European
1878631932,jure leskovec,graph,male,White/European
2117986484,evgeny krissinel,graph,male,White/European
297118547,phil blunsom,graph,male,White/European
2159410022,federico cecconi,graph,male,White/European
2343374067,bernardo a huberman,graph,male,White/European
2107468044,detmar w straub,graph,male,White/European
2010447242,sebastiano vigna,graph,male,White/European
2068190112,rada mihalcea,graph,female,White/European
2113945297,christopher f steiner,graph,male,White/European
2097273326,yair weiss,graph,male,White/European
2283740280,natalie s glance,graph,female,White/European
2252171364,joseph e gonzalez,graph,male,White/European
2214724178,laura gough,graph,female,White/European
2397817241,claudio castellano,graph,male,White/European
2143741982,jessica a church,graph,female,White/European
2009277913,eva tardos,social network,female,White/European
2130754085,andrew tomkins,social network,male,White/European
157725681,hernan a makse,social network,male,White/European
149531881,david libennowell,social network,male,White/European
2028428744,bruce kogut,social network,male,White/European
2107451820,john seely brown,social network,male,White/European
2344016581,carl folke,social network,male,White/European
2116293049,jordi duch,social network,male,White/European
2582396414,james m cook,social network,male,White/European
2149064801,danah boyd,social network,female,White/European
2779206936,guy melancon,social network,male,White/European
2627549943,h e stanley,social network,male,White/European
2103603712,lisa f berkman,social network,female,White/European
1913813444,leon danon,social network,male,White/European
419511944,ron boschma,social network,male,White/European
2948074207,jari saramaki,social network,male,White/European
2131585779,rodolfo baggio,social network,male,White/European
2286602817,francesc giralt,social network,male,White/European
2609141449,clemence magnien,social network,male,White/European
2509077533,noa pinterwollman,social network,female,White/European
259335324,yves chiricota,social network,male,White/European
677134955,daniel p huttenlocher,social network,male,White/European
2050186710,garry robins,social network,male,White/European
2691647209,nathalie del vecchio,social network,female,White/European
1987934814,juan a rodriguezvelazquez,social network,male,White/European
2209426836,dean lusher,social network,male,White/European
2108392708,sheldon cohen,social network,male,White/European
2707826896,alessandro vespignani,social network,male,White/European
2394749673,m e j newman,social network,male,White/European
2146613377,seth a myers,social network,male,White/European
2137065126,albert bandura,social network,male,White/European
2062670315,thomas a glass,social network,male,White/European
2120550509,martin g everett,social network,male,White/European
2137221145,david kempe,social network,male,White/European
2950343322,slaven marusic,social network,male,White/European
1887629390,janos kertesz,social network,male,White/European
2156764872,martin gargiulo,social network,male,White/European
60870194,fredrik liljeros,social network,male,White/European
2161915041,john coleman,social network,male,White/European
2199275230,matthew o jackson,social network,male,White/European
2116515527,per olsson,social network,male,White/European
2261367123,jon kleinberg,social network,male,White/European
630663198,shlomo havlin,social network,male,White/European
2785026101,john scott,social network,male,White/European
2171851496,luis a nunes amaral,social network,male,White/European
2114003991,ralph gross,social network,male,White/European
1785394198,teresa e seeman,social network,female,White/European
2041356507,j bradley layton,social network,male,White/European
2071262509,nicole b ellison,social network,female,White/European
2166132336,massimiliano marcon,social network,male,White/European
2026903385,john hassard,social network,male,White/European
2060843742,alain degenne,social network,male,White/European
2167938217,andrew j edelman,social network,male,White/European
301106008,bent flyvbjerg,social network,male,White/European
2059520746,steven d prager,social network,male,White/European
43551179,stephen p borgatti,social network,male,White/European
2015972736,alan mislove,social network,male,White/European
1966275690,johan koskinen,social network,male,White/European
2140363637,dorothea wagner,social network,female,White/European
2781233234,daniel s halgin,social network,male,White/European
2195478976,albertlaszlo barabasi,social network,male,White/European
1983756286,bryan perozzi,social network,male,White/European
1644299099,j j hyvonen,social network,male,White/European
1964600927,henrich r greve,social network,male,White/European
2235985702,joseph galaskiewicz,social network,male,White/European
967816195,ian brissette,social network,male,White/European
2227171322,michelle girvan,social network,female,White/European
2126599289,andreas m kaplan,social network,male,White/European
2012842650,ellen bratslavsky,social network,female,White/European
2343374067,bernardo a huberman,social network,male,White/European
720924201,nicholas a christakis,social network,male,White/European
2139330692,james h fowler,social network,male,White/European
2146726778,richard n cardozo,social network,male,White/European
2251891803,ignasi marti,social network,male,White/European
2026323400,ronald rousseau,social network,male,White/European
1976666824,fabricio benevenuto,social network,male,White/European
2083426550,fabien jourdan,social network,male,White/European
2096207090,lars backstrom,social network,male,White/European
25748148,romualdo pastorsatorras,social network,male,White/European
1954994128,roger guimera,social network,male,White/European
2127714412,james s waters,social network,male,White/European
2303511158,giuseppe labianca,social network,male,White/European
2130548382,jasmine novak,social network,female,White/European
2169727520,jon norberg,social network,male,White/European
2141358683,gyorgy szabo,social network,male,White/European
652370045,alejandro portes,social network,male,White/European
2087193645,michael woolcock,social network,male,White/European
119633740,julianne holtlunstad,social network,female,White/European
1914371560,daniel j brass,social network,male,White/European
233060415,alessandro acquisti,social network,male,White/European
2138507242,miller mcpherson,social network,male,White/European
2764735131,john law,social network,male,White/European
2101313979,yvonne aberg,social network,female,White/European
155792420,catrin finkenauer,social network,female,White/European
2308500502,christofer edling,social network,male,White/European
2144042109,yvonne rogers,social network,female,White/European
2056846416,mark granovetter,social network,male,White/European
1878631932,jure leskovec,social network,male,White/European
2140027952,morten t hansen,social network,male,White/European
2567533895,gabor fath,social network,male,White/European
2105050551,jenny preece,social network,female,White/European
2601842890,jennifer e smith,social network,female,White/European
2058920214,elizabeth a hobson,social network,female,White/European
2157809153,alex arenas,social network,male,White/European
2779549002,gabor szabo,social network,male,White/European
2098528998,david auber,social network,male,White/European
2327678571,chris cooper,social network,male,White/European
2015983224,alexandre a ardichvili,social network,male,White/European
2073090198,thomas hahn,social network,male,White/European
647108882,matthieu latapy,social network,male,White/European
2035405562,albert diazguilera,social network,male,White/European
2122189410,santo fortunato,social network,male,White/European
74792332,bostjan antoncic,social network,male,White/European
2097180423,roy f baumeister,social network,male,White/European
2321730078,steven sampson,social network,male,White/European
670945504,kathleen d vohs,social network,female,White/European
2052013336,mason a porter,social network,male,White/European
2171198665,ronald s burt,social network,male,White/European
234889175,george wittemyer,social network,male,White/European
2012545385,cliff lampe,social network,male,White/European
2082712981,david lazer,social network,male,White/European
2149311860,johanna mair,social network,female,White/European
2034293391,andrew mcafee,social network,male,White/European
2053543515,steven skiena,social network,male,White/European
892854437,michael haenlein,social network,male,White/European
269061945,charles steinfield,social network,male,White/European
2066282134,tim finin,social network,male,White/European
2104106786,noel scott,social network,male,White/European
2046372634,paul duguid,social network,male,White/European
1938534509,andrew c inkpen,social network,male,White/European
1707147546,lynn smithlovin,social network,female,White/European
1968209981,erik brynjolfsson,social network,male,White/European
1826799450,kimmo kaski,social network,male,White/European
2119949977,patricia landolt,social network,female,White/European
2104824474,helen sharp,social network,female,White/European
342346400,krista j gile,social network,female,White/European
2345687710,lada a adamic,social network,female,White/European
62967857,peter druschel,social network,male,White/European
2138805444,duncan j watts,social network,male,White/European
285776135,michel forse,social network,male,White/European
2123184461,timothy b smith,social network,male,White/European
250223615,jennifer h fewell,social network,female,White/European
2164983246,jukkapekka onnela,social network,male,White/European
2233085770,michael e porter,social network,male,White/European
2117376714,peter j mucha,social network,male,White/European
2147406856,david b mcdonald,social network,male,White/European
2918241356,rolf kotter,complex network,male,White/European
2392787150,janake tornroos,complex network,male,White/European
2171468280,andrea rapisarda,complex network,male,White/European
2185101206,shai s shenorr,complex network,male,White/European
