author_id,normalized_name,splitted_first_name,author_link,identified_gender
2306222705,a v goltsev,a,https://academic.microsoft.com/author/2306222705/publication/,male
2710718375,j f f mendes,j,https://academic.microsoft.com/author/2710718375/publication/,male
2394749673,m e j newman,m,https://academic.microsoft.com/author/2394749673/publication/,male
2542692433,s n dorogovtsev,s,https://academic.microsoft.com/author/2542692433/publication/,male
2257997862,w t tutte,w,https://academic.microsoft.com/author/2257997862/publication/,male
2092142020,ha hoang,ha,https://academic.microsoft.com/author/2092142020/publication/,male
2312484960,jo brown,jo,https://academic.microsoft.com/author/2312484960/publication/,male
2912299321,jp onnela,jp,https://academic.microsoft.com/author/2912299321/publication/,male
2631872870,ake j holmgren,ake,https://academic.microsoft.com/author/2631872870/publication/,male
341688178,ali jadbabaie,ali,https://academic.microsoft.com/author/341688178/publication/,male
2166435812,ben y zhao,ben,https://academic.microsoft.com/author/2166435812/publication/,male
668764113,ben shneiderman,ben,https://academic.microsoft.com/author/668764113/publication/,male
2100860776,duo zhang,duo,https://academic.microsoft.com/author/2100860776/publication/,male
2145026360,fan r k chung,fan,https://academic.microsoft.com/author/2145026360/publication/,male
2656995071,hao ma,hao,https://academic.microsoft.com/author/2656995071/publication/,male
2102399848,ian wilkinson,ian,https://academic.microsoft.com/author/2102399848/publication/,male
967816195,ian brissette,ian,https://academic.microsoft.com/author/967816195/publication/,male
2124123939,jay yellen,jay,https://academic.microsoft.com/author/2124123939/publication/,male
2158012360,jie tang,jie,https://academic.microsoft.com/author/2158012360/publication/,male
2630160815,jie lin,jie,https://academic.microsoft.com/author/2630160815/publication/,male
2103022394,jie wu,jie,https://academic.microsoft.com/author/2103022394/publication/,male
2261367123,jon m kleinberg,jon,https://academic.microsoft.com/author/2261367123/publication/,male
2169727520,jon norberg,jon,https://academic.microsoft.com/author/2169727520/publication/,male
2421657768,jun dong,jun,https://academic.microsoft.com/author/2421657768/publication/,male
2650521881,jun zhang,jun,https://academic.microsoft.com/author/2650521881/publication/,male
2571140389,ken a smith,ken,https://academic.microsoft.com/author/2571140389/publication/,male
2011148271,ken t d eames,ken,https://academic.microsoft.com/author/2011148271/publication/,male
2569376642,leo breiman,leo,https://academic.microsoft.com/author/2569376642/publication/,male
2125030531,leo grady,leo,https://academic.microsoft.com/author/2125030531/publication/,male
2012482624,lev muchnik,lev,https://academic.microsoft.com/author/2012482624/publication/,male
2200912411,max weber,max,https://academic.microsoft.com/author/2200912411/publication/,male
2891979224,max weber,max,https://academic.microsoft.com/author/2891979224/publication/,male
2166051365,neo d martinez,neo,https://academic.microsoft.com/author/2166051365/publication/,male
2161165944,per hage,per,https://academic.microsoft.com/author/2161165944/publication/,male
2116515527,per olsson,per,https://academic.microsoft.com/author/2116515527/publication/,male
2485322213,ray reagans,ray,https://academic.microsoft.com/author/2485322213/publication/,male
2093688085,rob kling,rob,https://academic.microsoft.com/author/2093688085/publication/,male
2120439602,rob cross,rob,https://academic.microsoft.com/author/2120439602/publication/,male
419511944,ron boschma,ron,https://academic.microsoft.com/author/419511944/publication/,male
2200137649,ron milo,ron,https://academic.microsoft.com/author/2200137649/publication/,male
2097180423,roy f baumeister,roy,https://academic.microsoft.com/author/2097180423/publication/,male
1977040039,roy haggerty,roy,https://academic.microsoft.com/author/1977040039/publication/,male
2148854578,roy rada,roy,https://academic.microsoft.com/author/2148854578/publication/,male
2081760096,roy levien,roy,https://academic.microsoft.com/author/2081760096/publication/,male
90469688,roy d pea,roy,https://academic.microsoft.com/author/90469688/publication/,male
2466761586,rui mendes,rui,https://academic.microsoft.com/author/2466761586/publication/,male
2422184792,tao zhou,tao,https://academic.microsoft.com/author/2422184792/publication/,male
2444126633,ted g lewis,ted,https://academic.microsoft.com/author/2444126633/publication/,male
2558876329,tim rowley,tim,https://academic.microsoft.com/author/2558876329/publication/,male
2066282134,tim finin,tim,https://academic.microsoft.com/author/2066282134/publication/,male
369089569,tom a b snijders,tom,https://academic.microsoft.com/author/369089569/publication/,male
2046927040,uri alon,uri,https://academic.microsoft.com/author/2046927040/publication/,male
1965588777,urs braun,urs,https://academic.microsoft.com/author/1965588777/publication/,male
2305700049,uwe hobohm,uwe,https://academic.microsoft.com/author/2305700049/publication/,male
1991290014,van j wedeen,van,https://academic.microsoft.com/author/1991290014/publication/,male
2157918172,wei ren,wei,https://academic.microsoft.com/author/2157918172/publication/,male
2394571040,wei ni,wei,https://academic.microsoft.com/author/2394571040/publication/,male
2555314242,wmp wil van der aalst,wmp,https://academic.microsoft.com/author/2555314242/publication/,male
2703292142,xun li,xun,https://academic.microsoft.com/author/2703292142/publication/,male
2636163417,ajay mehra,ajay,https://academic.microsoft.com/author/2636163417/publication/,male
2255663429,ajit singh,ajit,https://academic.microsoft.com/author/2255663429/publication/,male
2777125671,alan c evans,alan,https://academic.microsoft.com/author/2777125671/publication/,male
2168625971,alan shiell,alan,https://academic.microsoft.com/author/2168625971/publication/,male
2193284825,alan s perelson,alan,https://academic.microsoft.com/author/2193284825/publication/,male
2015972736,alan mislove,alan,https://academic.microsoft.com/author/2015972736/publication/,male
2157809153,alex arenas,alex,https://academic.microsoft.com/author/2157809153/publication/,male
2074339028,alex fornito,alex,https://academic.microsoft.com/author/2074339028/publication/,male
2136582299,anil k seth,anil,https://academic.microsoft.com/author/2136582299/publication/,male
1538394340,aric hagberg,aric,https://academic.microsoft.com/author/1538394340/publication/,male
2222907328,axel schafer,axel,https://academic.microsoft.com/author/2222907328/publication/,male
301106008,bent flyvbjerg,bent,https://academic.microsoft.com/author/301106008/publication/,male
2102240352,beom jun kim,beom,https://academic.microsoft.com/author/2102240352/publication/,male
2785343825,bing liu,bing,https://academic.microsoft.com/author/2785343825/publication/,male
2168090886,brad h mcrae,brad,https://academic.microsoft.com/author/2168090886/publication/,male
2127341518,carl t bergstrom,carl,https://academic.microsoft.com/author/2127341518/publication/,male
2344016581,carl folke,carl,https://academic.microsoft.com/author/2344016581/publication/,male
2100498378,chip elliott,chip,https://academic.microsoft.com/author/2100498378/publication/,male
2253963398,dean a shepherd,dean,https://academic.microsoft.com/author/2253963398/publication/,male
2209426836,dean lusher,dean,https://academic.microsoft.com/author/2209426836/publication/,male
2157757235,dean l urban,dean,https://academic.microsoft.com/author/2157757235/publication/,male
2141500565,deng cai,deng,https://academic.microsoft.com/author/2141500565/publication/,male
2425744831,dong xu,dong,https://academic.microsoft.com/author/2425744831/publication/,male
2070965055,eran toch,eran,https://academic.microsoft.com/author/2070965055/publication/,male
274731230,eric d kolaczyk,eric,https://academic.microsoft.com/author/274731230/publication/,male
2227797470,eric pinson,eric,https://academic.microsoft.com/author/2227797470/publication/,male
1264307526,eric a treml,eric,https://academic.microsoft.com/author/1264307526/publication/,male
2620706523,eric w k tsang,eric,https://academic.microsoft.com/author/2620706523/publication/,male
1968209981,erik brynjolfsson,erik,https://academic.microsoft.com/author/1968209981/publication/,male
2102732916,evan h campbell grant,evan,https://academic.microsoft.com/author/2102732916/publication/,male
2096675187,ezra w zuckerman,ezra,https://academic.microsoft.com/author/2096675187/publication/,male
2099351547,fred buckley,fred,https://academic.microsoft.com/author/2099351547/publication/,male
2138467178,hajo a reijers,hajo,https://academic.microsoft.com/author/2138467178/publication/,male
2008075735,hans meinhardt,hans,https://academic.microsoft.com/author/2008075735/publication/,male
363191356,henk w berendse,henk,https://academic.microsoft.com/author/363191356/publication/,male
2122391114,huan liu,huan,https://academic.microsoft.com/author/2122391114/publication/,male
1833804002,imre derenyi,imre,https://academic.microsoft.com/author/1833804002/publication/,male
1887834771,jaap c reijneveld,jaap,https://academic.microsoft.com/author/1887834771/publication/,male
710833904,jari saramaki,jari,https://academic.microsoft.com/author/710833904/publication/,male
2156066232,jens krause,jens,https://academic.microsoft.com/author/2156066232/publication/,male
2126330539,jian pei,jian,https://academic.microsoft.com/author/2126330539/publication/,male
2096344980,joel bernstein,joel,https://academic.microsoft.com/author/2096344980/publication/,male
2764735131,john law,john,https://academic.microsoft.com/author/2764735131/publication/,male
2126099518,john w mitchell,john,https://academic.microsoft.com/author/2126099518/publication/,male
2101777055,john j tyson,john,https://academic.microsoft.com/author/2101777055/publication/,male
2110352321,john thibaut,john,https://academic.microsoft.com/author/2110352321/publication/,male
1574193856,john c paolillo,john,https://academic.microsoft.com/author/1574193856/publication/,male
2161915041,john coleman,john,https://academic.microsoft.com/author/2161915041/publication/,male
597627890,john p ulhoi,john,https://academic.microsoft.com/author/597627890/publication/,male
2689133139,john seely brown,john,https://academic.microsoft.com/author/2689133139/publication/,male
2766329864,john short,john,https://academic.microsoft.com/author/2766329864/publication/,male
2143987510,john c doyle,john,https://academic.microsoft.com/author/2143987510/publication/,male
2105918681,john s selker,john,https://academic.microsoft.com/author/2105918681/publication/,male
2166937360,john watson,john,https://academic.microsoft.com/author/2166937360/publication/,male
670901035,john skvoretz,john,https://academic.microsoft.com/author/670901035/publication/,male
2785026101,john scott,john,https://academic.microsoft.com/author/2785026101/publication/,male
2907059252,john d teasdale,john,https://academic.microsoft.com/author/2907059252/publication/,male
2119871048,john c macdonald,john,https://academic.microsoft.com/author/2119871048/publication/,male
2107451820,john seely brown,john,https://academic.microsoft.com/author/2107451820/publication/,male
2474030854,john suckling,john,https://academic.microsoft.com/author/2474030854/publication/,male
2038891902,joop koppenjan,joop,https://academic.microsoft.com/author/2038891902/publication/,male
2110723587,jose duato,jose,https://academic.microsoft.com/author/2110723587/publication/,male
1987934814,juan alberto rodriguezvelazquez,juan,https://academic.microsoft.com/author/1987934814/publication/,male
1878631932,jure leskovec,jure,https://academic.microsoft.com/author/1878631932/publication/,male
1980542405,karl e bauman,karl,https://academic.microsoft.com/author/1980542405/publication/,male
571282587,karl e weick,karl,https://academic.microsoft.com/author/571282587/publication/,male
2045864003,karl j friston,karl,https://academic.microsoft.com/author/2045864003/publication/,male
1866249392,kurt lewin,kurt,https://academic.microsoft.com/author/1866249392/publication/,male
2079032315,kurt konolige,kurt,https://academic.microsoft.com/author/2079032315/publication/,male
2158792855,lars w hagen,lars,https://academic.microsoft.com/author/2158792855/publication/,male
2096207090,lars backstrom,lars,https://academic.microsoft.com/author/2096207090/publication/,male
2181693782,leon liheng wu,leon,https://academic.microsoft.com/author/2181693782/publication/,male
1913813444,leon danon,leon,https://academic.microsoft.com/author/1913813444/publication/,male
1993486354,loet leydesdorff,loet,https://academic.microsoft.com/author/1993486354/publication/,male
2946424798,luis concha,luis,https://academic.microsoft.com/author/2946424798/publication/,male
2014009537,luis mario floria,luis,https://academic.microsoft.com/author/2014009537/publication/,male
2171851496,luis a nunes amaral,luis,https://academic.microsoft.com/author/2171851496/publication/,male
2106192455,luis e c rocha,luis,https://academic.microsoft.com/author/2106192455/publication/,male
2098642314,mani b srivastava,mani,https://academic.microsoft.com/author/2098642314/publication/,male
2275918092,marc barthlemy,marc,https://academic.microsoft.com/author/2275918092/publication/,male
2119113135,marc a smith,marc,https://academic.microsoft.com/author/2119113135/publication/,male
1963961978,marc barthelemy,marc,https://academic.microsoft.com/author/1963961978/publication/,male
2181857560,mark s handcock,mark,https://academic.microsoft.com/author/2181857560/publication/,male
1979641284,mark s ackerman,mark,https://academic.microsoft.com/author/1979641284/publication/,male
2171101665,mark reed,mark,https://academic.microsoft.com/author/2171101665/publication/,male
2056846416,mark granovetter,mark,https://academic.microsoft.com/author/2056846416/publication/,male
1999402965,mark verwoerd,mark,https://academic.microsoft.com/author/1999402965/publication/,male
2617392572,mark s mizruchi,mark,https://academic.microsoft.com/author/2617392572/publication/,male
2689672205,mark buchanan,mark,https://academic.microsoft.com/author/2689672205/publication/,male
2143724125,mung chiang,mung,https://academic.microsoft.com/author/2143724125/publication/,male
2245702983,nhan phan thien,nhan,https://academic.microsoft.com/author/2245702983/publication/,male
2163866255,nick lee,nick,https://academic.microsoft.com/author/2163866255/publication/,male
2255982538,noah e friedkin,noah,https://academic.microsoft.com/author/2255982538/publication/,male
217461061,noel m tichy,noel,https://academic.microsoft.com/author/217461061/publication/,male
1274808907,olaf sporns,olaf,https://academic.microsoft.com/author/1274808907/publication/,male
316925404,paul w beamish,paul,https://academic.microsoft.com/author/316925404/publication/,male
51919298,paul j laurienti,paul,https://academic.microsoft.com/author/51919298/publication/,male
2943535934,paul almeida,paul,https://academic.microsoft.com/author/2943535934/publication/,male
2046372634,paul duguid,paul,https://academic.microsoft.com/author/2046372634/publication/,male
1916892598,paul dimaggio,paul,https://academic.microsoft.com/author/1916892598/publication/,male
718552027,piet van mieghem,piet,https://academic.microsoft.com/author/718552027/publication/,male
207394754,pitu b mirchandani,pitu,https://academic.microsoft.com/author/207394754/publication/,male
2577876495,ravi kumar,ravi,https://academic.microsoft.com/author/2577876495/publication/,male
2059059345,ravi s achrol,ravi,https://academic.microsoft.com/author/2059059345/publication/,male
2280615501,rene s kahn,rene,https://academic.microsoft.com/author/2280615501/publication/,male
599695746,reto meuli,reto,https://academic.microsoft.com/author/599695746/publication/,male
1969841945,reza olfati saber,reza,https://academic.microsoft.com/author/1969841945/publication/,male
341001588,reza olfatisaber,reza,https://academic.microsoft.com/author/341001588/publication/,male
2922121546,rick hooper,rick,https://academic.microsoft.com/author/2922121546/publication/,male
2006674552,risi kondor,risi,https://academic.microsoft.com/author/2006674552/publication/,male
2918241356,rolf kotter,rolf,https://academic.microsoft.com/author/2918241356/publication/,male
2343984311,rolf sternberg,rolf,https://academic.microsoft.com/author/2343984311/publication/,male
1981770215,ryan chute,ryan,https://academic.microsoft.com/author/1981770215/publication/,male
2146613377,seth a myers,seth,https://academic.microsoft.com/author/2146613377/publication/,male
2185101206,shai s shenorr,shai,https://academic.microsoft.com/author/2185101206/publication/,male
2149865473,sune lehmann,sune,https://academic.microsoft.com/author/2149865473/publication/,male
98853548,tage skjoettlarsen,tage,https://academic.microsoft.com/author/98853548/publication/,male
2545088079,tore opsahl,tore,https://academic.microsoft.com/author/2545088079/publication/,male
2054945303,vito latora,vito,https://academic.microsoft.com/author/2054945303/publication/,male
2097273326,yair weiss,yair,https://academic.microsoft.com/author/2097273326/publication/,male
2107876906,yong he,yong,https://academic.microsoft.com/author/2107876906/publication/,male
2042485724,yuri boykov,yuri,https://academic.microsoft.com/author/2042485724/publication/,male
2566209759,zhen wang,zhen,https://academic.microsoft.com/author/2566209759/publication/,male
1443137112,aaron clauset,aaron,https://academic.microsoft.com/author/1443137112/publication/,male
2128657759,akbar zaheer,akbar,https://academic.microsoft.com/author/2128657759/publication/,male
1157737953,alain barrat,alain,https://academic.microsoft.com/author/1157737953/publication/,male
2060843742,alain degenne,alain,https://academic.microsoft.com/author/2060843742/publication/,male
2711919227,allan w wicker,allan,https://academic.microsoft.com/author/2711919227/publication/,male
2653199301,anant singh jain,anant,https://academic.microsoft.com/author/2653199301/publication/,male
2103831443,arent greve,arent,https://academic.microsoft.com/author/2103831443/publication/,male
131739572,babak pourbohloul,babak,https://academic.microsoft.com/author/131739572/publication/,male
2108037768,barry wellman,barry,https://academic.microsoft.com/author/2108037768/publication/,male
2248806669,barry d davidson,barry,https://academic.microsoft.com/author/2248806669/publication/,male
2099847228,benyu zhang,benyu,https://academic.microsoft.com/author/2099847228/publication/,male
1862760335,bijan parsia,bijan,https://academic.microsoft.com/author/1862760335/publication/,male
2152523866,bobby bhattacharjee,bobby,https://academic.microsoft.com/author/2152523866/publication/,male
1980470940,boris v cherkassky,boris,https://academic.microsoft.com/author/1980470940/publication/,male
2098049953,brett g dickson,brett,https://academic.microsoft.com/author/2098049953/publication/,male
2048884539,brian uzzi,brian,https://academic.microsoft.com/author/2048884539/publication/,male
2894994352,brian karrer,brian,https://academic.microsoft.com/author/2894994352/publication/,male
2766870918,bruce christie,bruce,https://academic.microsoft.com/author/2766870918/publication/,male
2134305380,bruce p kennedy,bruce,https://academic.microsoft.com/author/2134305380/publication/,male
2028428744,bruce kogut,bruce,https://academic.microsoft.com/author/2028428744/publication/,male
2524419254,bruce c skaggs,bruce,https://academic.microsoft.com/author/2524419254/publication/,male
2575070308,bruno langlois,bruno,https://academic.microsoft.com/author/2575070308/publication/,male
2136431451,bryce boe,bryce,https://academic.microsoft.com/author/2136431451/publication/,male
2146161571,chang no yoon,chang,https://academic.microsoft.com/author/2146161571/publication/,male
2238409327,chris sander,chris,https://academic.microsoft.com/author/2238409327/publication/,male
2307857036,chuan yang,chuan,https://academic.microsoft.com/author/2307857036/publication/,male
346545156,claus c hilgetag,claus,https://academic.microsoft.com/author/346545156/publication/,male
2012545385,cliff lampe,cliff,https://academic.microsoft.com/author/2012545385/publication/,male
276730995,dante r chialvo,dante,https://academic.microsoft.com/author/276730995/publication/,male
2484113080,darko hric,darko,https://academic.microsoft.com/author/2484113080/publication/,male
2120920645,david s johnson,david,https://academic.microsoft.com/author/2120920645/publication/,male
2002613147,david eppstein,david,https://academic.microsoft.com/author/2002613147/publication/,male
1930867258,david j galas,david,https://academic.microsoft.com/author/1930867258/publication/,male
2947030748,david a kenny,david,https://academic.microsoft.com/author/2947030748/publication/,male
2236920176,david m mayer,david,https://academic.microsoft.com/author/2236920176/publication/,male
2124028641,david d jensen,david,https://academic.microsoft.com/author/2124028641/publication/,male
2141720558,david j ketchen,david,https://academic.microsoft.com/author/2141720558/publication/,male
2310499632,david i shuman,david,https://academic.microsoft.com/author/2310499632/publication/,male
2137221145,david kempe,david,https://academic.microsoft.com/author/2137221145/publication/,male
149531881,david libennowell,david,https://academic.microsoft.com/author/149531881/publication/,male
2082712981,david lazer,david,https://academic.microsoft.com/author/2082712981/publication/,male
2405775641,david kirsh,david,https://academic.microsoft.com/author/2405775641/publication/,male
2173109630,david a fell,david,https://academic.microsoft.com/author/2173109630/publication/,male
2273705048,david a ralston,david,https://academic.microsoft.com/author/2273705048/publication/,male
2921568659,derek l hansen,derek,https://academic.microsoft.com/author/2921568659/publication/,male
2002906405,edwin hutchins,edwin,https://academic.microsoft.com/author/2002906405/publication/,male
2113438569,erjia yan,erjia,https://academic.microsoft.com/author/2113438569/publication/,male
233957955,eytan bakshy,eytan,https://academic.microsoft.com/author/233957955/publication/,male
2055875777,fabio pasqualetti,fabio,https://academic.microsoft.com/author/2055875777/publication/,male
2119774666,fidel ramirez,fidel,https://academic.microsoft.com/author/2119774666/publication/,male
71963461,filip agneessens,filip,https://academic.microsoft.com/author/71963461/publication/,male
65976662,frank harary,frank,https://academic.microsoft.com/author/65976662/publication/,male
2798761059,frank harary,frank,https://academic.microsoft.com/author/2798761059/publication/,male
1515786896,gabor csardi,gabor,https://academic.microsoft.com/author/1515786896/publication/,male
2050186710,garry robins,garry,https://academic.microsoft.com/author/2050186710/publication/,male
260408660,gilad ravid,gilad,https://academic.microsoft.com/author/260408660/publication/,male
2914266638,gyula i szabo,gyula,https://academic.microsoft.com/author/2914266638/publication/,male
1927775022,hamed haddadi,hamed,https://academic.microsoft.com/author/1927775022/publication/,male
2553922951,harry m hoberman,harry,https://academic.microsoft.com/author/2553922951/publication/,male
119553224,hauke strasdat,hauke,https://academic.microsoft.com/author/119553224/publication/,male
703112618,henri tajfel,henri,https://academic.microsoft.com/author/703112618/publication/,male
2125205813,henry a finch,henry,https://academic.microsoft.com/author/2125205813/publication/,male
2188681046,illes j farkas,illes,https://academic.microsoft.com/author/2188681046/publication/,male
2121363826,irwin king,irwin,https://academic.microsoft.com/author/2121363826/publication/,male
1256647149,jacek radzikowski,jacek,https://academic.microsoft.com/author/1256647149/publication/,male
165449881,jacob torfing,jacob,https://academic.microsoft.com/author/165449881/publication/,male
2070057884,james p bagrow,james,https://academic.microsoft.com/author/2070057884/publication/,male
2695647148,james a hendler,james,https://academic.microsoft.com/author/2695647148/publication/,male
2562719856,james r jackson,james,https://academic.microsoft.com/author/2562719856/publication/,male
2159748280,james p ostrowski,james,https://academic.microsoft.com/author/2159748280/publication/,male
400323076,james d hollan,james,https://academic.microsoft.com/author/400323076/publication/,male
2150544969,james h gray,james,https://academic.microsoft.com/author/2150544969/publication/,male
2582396414,james m cook,james,https://academic.microsoft.com/author/2582396414/publication/,male
2147130370,james s coleman,james,https://academic.microsoft.com/author/2147130370/publication/,male
2185363493,james kennedy,james,https://academic.microsoft.com/author/2185363493/publication/,male
2139330692,james h fowler,james,https://academic.microsoft.com/author/2139330692/publication/,male
2108203046,james w kirchner,james,https://academic.microsoft.com/author/2108203046/publication/,male
1887629390,janos kertesz,janos,https://academic.microsoft.com/author/1887629390/publication/,male
2141131632,jason i hong,jason,https://academic.microsoft.com/author/2141131632/publication/,male
197852453,jesus gomezgardenes,jesus,https://academic.microsoft.com/author/197852453/publication/,male
2110250596,jinhu lu,jinhu,https://academic.microsoft.com/author/2110250596/publication/,male
2097966160,johan bollen,johan,https://academic.microsoft.com/author/2097966160/publication/,male
1966275690,johan koskinen,johan,https://academic.microsoft.com/author/1966275690/publication/,male
2467357744,jordi sabater,jordi,https://academic.microsoft.com/author/2467357744/publication/,male
2084345891,jordi bascompte,jordi,https://academic.microsoft.com/author/2084345891/publication/,male
2116293049,jordi duch,jordi,https://academic.microsoft.com/author/2116293049/publication/,male
145199858,julio m ottino,julio,https://academic.microsoft.com/author/145199858/publication/,male
1688201687,kevin macon,kevin,https://academic.microsoft.com/author/1688201687/publication/,male
2113667310,kevin j dooley,kevin,https://academic.microsoft.com/author/2113667310/publication/,male
1826799450,kimmo kaski,kimmo,https://academic.microsoft.com/author/1826799450/publication/,male
156439643,klaus hubacek,klaus,https://academic.microsoft.com/author/156439643/publication/,male
2134261273,lance doherty,lance,https://academic.microsoft.com/author/2134261273/publication/,male
2252586558,lotfi a zadeh,lotfi,https://academic.microsoft.com/author/2252586558/publication/,male
2036690967,lucas antiqueira,lucas,https://academic.microsoft.com/author/2036690967/publication/,male
85458277,lucio biggiero,lucio,https://academic.microsoft.com/author/85458277/publication/,male
323766894,marco iansiti,marco,https://academic.microsoft.com/author/323766894/publication/,male
2110193121,mario albrecht,mario,https://academic.microsoft.com/author/2110193121/publication/,male
2095945270,mario chavez,mario,https://academic.microsoft.com/author/2095945270/publication/,male
2052013336,mason a porter,mason,https://academic.microsoft.com/author/2052013336/publication/,male
180888741,mayer n zald,mayer,https://academic.microsoft.com/author/180888741/publication/,male
1292959705,mikko kivela,mikko,https://academic.microsoft.com/author/1292959705/publication/,male
2079916808,miles kahler,miles,https://academic.microsoft.com/author/2079916808/publication/,male
1970575723,moshe y vardi,moshe,https://academic.microsoft.com/author/1970575723/publication/,male
254511066,murat arcak,murat,https://academic.microsoft.com/author/254511066/publication/,male
368345771,nadav kashtan,nadav,https://academic.microsoft.com/author/368345771/publication/,male
2305085776,nenad mladenovic,nenad,https://academic.microsoft.com/author/2305085776/publication/,male
2618771649,nenad trinajstic,nenad,https://academic.microsoft.com/author/2618771649/publication/,male
2511378051,nitin nohria,nitin,https://academic.microsoft.com/author/2511378051/publication/,male
1519201588,orjan g martinsen,orjan,https://academic.microsoft.com/author/1519201588/publication/,male
1908222809,paolo crucitti,paolo,https://academic.microsoft.com/author/1908222809/publication/,male
2041808030,pawel winter,pawel,https://academic.microsoft.com/author/2041808030/publication/,male
180541493,pedro jordano,pedro,https://academic.microsoft.com/author/180541493/publication/,male
2617629123,peter smith ring,peter,https://academic.microsoft.com/author/2617629123/publication/,male
2595682946,peter witt,peter,https://academic.microsoft.com/author/2595682946/publication/,male
1338467800,peter salovey,peter,https://academic.microsoft.com/author/1338467800/publication/,male
62967857,peter druschel,peter,https://academic.microsoft.com/author/62967857/publication/,male
2040470435,peter willmott,peter,https://academic.microsoft.com/author/2040470435/publication/,male
2708410718,peter welsch,peter,https://academic.microsoft.com/author/2708410718/publication/,male
2121348433,peter g doyle,peter,https://academic.microsoft.com/author/2121348433/publication/,male
2722147625,peter v marsden,peter,https://academic.microsoft.com/author/2722147625/publication/,male
2168957985,peter f stadler,peter,https://academic.microsoft.com/author/2168957985/publication/,male
2106237846,peter m blau,peter,https://academic.microsoft.com/author/2106237846/publication/,male
2094778777,peter d hoff,peter,https://academic.microsoft.com/author/2094778777/publication/,male
1912508384,peter j carrington,peter,https://academic.microsoft.com/author/1912508384/publication/,male
2117376714,peter j mucha,peter,https://academic.microsoft.com/author/2117376714/publication/,male
2109031554,qiang yang,qiang,https://academic.microsoft.com/author/2109031554/publication/,male
2072553995,rahul c basole,rahul,https://academic.microsoft.com/author/2072553995/publication/,male
2114003991,ralph gross,ralph,https://academic.microsoft.com/author/2114003991/publication/,male
2040103212,ramin zabih,ramin,https://academic.microsoft.com/author/2040103212/publication/,male
2207522298,robin wilson,robin,https://academic.microsoft.com/author/2207522298/publication/,male
2776564969,robin j mermelstein,robin,https://academic.microsoft.com/author/2776564969/publication/,male
1954994128,roger guimera,roger,https://academic.microsoft.com/author/1954994128/publication/,male
2122189410,santo fortunato,santo,https://academic.microsoft.com/author/2122189410/publication/,male
2014033501,sasha a barab,sasha,https://academic.microsoft.com/author/2014033501/publication/,male
173848757,scott t grafton,scott,https://academic.microsoft.com/author/173848757/publication/,male
2288765026,scott l feld,scott,https://academic.microsoft.com/author/2288765026/publication/,male
2585984633,scott white,scott,https://academic.microsoft.com/author/2585984633/publication/,male
305618809,serge j belongie,serge,https://academic.microsoft.com/author/305618809/publication/,male
